Number,URL,Name,Parsed_Ingredients,Steps
145,https://www.jamieoliver.com/recipes/vegetables-recipes/raw-vegan-spag-bol/,Raw vegan spag bol,"['tomato', 'date', 'walnut', 'courgette', 'cauliflower', 'onion', 'garlic', 'carrot', 'celery', 'beetroot', 'tomato', 'lemon']","['The night before, put the sundried tomatoes and dates in a non-reactive bowl, pour over 200ml of water. In a separate bowl and cover the walnuts with water and place both bowls in the fridge to soak overnight. For the ‘spaghetti’, use a spiraliser to cut the courgettes into long curly strands or use a julienne peeler to slice into thin strips. Set aside.To make ‘parmesan’, blitz the cauliflower florets in a food processor until you have a grainy consistency. Place it on kitchen towel to soak up excess moisture while you prepare the rest of the dish.Place the garlic, rosemary and chilli in a food processor and blitz until finely chopped. Add the carrot, celery, red pepper and onion and \nblitz again until chunky. Drain and rinse the walnuts and add to the other ingredients in the processor with the beetroot, plum tomatoes, 150g of the cherry tomatoes, the lemon zest and juice, dates and sundried tomatoes (with their soaking liquid), parsley and half of the basil leaves. Quarter the remaining cherry tomatoes and set aside to garnish. Process the mixture until it forms a thick sauce and the walnut pieces resemble a minced texture. Depending how juicy your tomatoes are, you might need to thin it with a little extra water. Season to taste. To serve, divide the courgette ‘spaghetti’ between plates, pour over the sauce, sprinkle with the quartered tomatoes and cauliflower ‘parmesan’, then top with the remaining basil.']"
146,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-paella/,Chicken ‘paella’,"['chorizo', 'onion', 'jarred piquillo', 'chicken drumettes', 'tomato puree', 'bomba paella rice', 'wine', 'chicken stock', 'pea', 'lemon']","['Preheat the oven to 180ºC/gas 4. Slice the chorizo, peel and finely dice the onion, and finely dice the peppers. Pick and finely chop the parsley.Season the drumettes all over with sea salt and black pepper. Place a 30cm ovenproof sauté pan over a medium-high heat, add the oil, then add the chicken drumettes, in batches, and brown well on all sides. Remove the chicken from the pan and set aside.Add the chorizo and onions to the pan, and cook until the onions are softened – about 4 minutes. Add the piquillo peppers, paprika and tomato pureé, season and cook until the tomato pureé bubbles.Add the rice to the pan and stir well to coat it evenly with the tomato mixture. Cook the rice for about 3 minutes.Add the wine, stir through and bring to the boil. Once the rice has absorbed the wine, add 750ml hot water or stock, then stir in the peas and half the parsley. Arrange all of the chicken drumettes on top of the rice, in a spoke pattern.Bring the paella back to the boil then transfer to the oven and bake, uncovered, for 30 minutes, or until the rice is nice and tender.Remove the paella from the oven, cover lightly with foil and leave to rest for about 10 minutes. Serve with the rest of the parsley on top and lemon wedges on the side.']"
147,https://www.jamieoliver.com/recipes/beef-recipes/blue-cheese-apple-burger/,Blue cheese & apple burger,"['minced chuck steak', 'lettuce', 'cress', 'braeburn cox apple', 'blue cheese', 'burger bun', 'american']","[""Make the burgers at least an hour before you want to cook them. Divide the mince into 4 portions and work each ball in your hands for a few minutes to melt the fat and mould them into a relatively smooth, round patty. Make them slightly bigger than your bun, as they will shrink when cooked. Pop them on a tray, cover with clingfilm and chill in the fridge.When you're ready to cook your burgers, get your toppings ready. Pick off, wash and spin dry the lettuce leaves, cut your cress, slice the apples, crumble the blue cheese into chunks, and leave everything to one side.Preheat your grill to high. Pop a large non-stick frying pan over a medium heat and add a drizzle of oil to the pan. Fry the burgers for around 4 minutes on each side if you like them pink in the middle, or longer if you prefer them fully cooked, seasoning the patties with black pepper as you cook them.Halve and toast the buns under the grill or on a hot griddle, then line them up on a board ready to go. When the burgers are cooked, top each with the blue cheese and pop under the grill for a couple of minutes until nice and oozy.Now build your burgers. First layer the salad leaves and apple onto the buns, followed by a good drizzle of mustard. Pop the burgers on, and top with the cress (a cucumber and chilli relish is great here too). Squish the bun tops on and serve straight away.""]"
148,https://www.jamieoliver.com/recipes/beef-recipes/beef-amp-quince-stew/,Beef & quince stew,"['onion', 'garlic', 'quince', 'lemon', 'beef chuck butcher do', 'vine tomato', 'tomato passata', 'tomato puree', 'allspice berry', 'wineglass wine']","['Peel and halve the onions, then peel and slice the garlic. Peel, core and slice the quinces, putting them in a bowl of cold water with a good squeeze of lemon juice.Heat 4 tablespoons of oil over a medium heat in a large saucepan and sauté the onion and garlic for 5 to 7 minutes, or until softened. Remove with a slotted spoon and set aside, then add the quince and sauté for 5 to 7 minutes, or until softened. Remove with a slotted spoon and set aside, then add the beef and sauté for 8 to 10 minutes, or until browned on all sides.Return the onion and garlic to the pan (reserving the quince for later), then add the tomatoes, passata, purée, cinnamon, bay leaves, allspice, wine and enough water to just cover the stew. Season and stir well, bring to the boil then simmer for 1 hour. Add the quince and stir carefully, then cook for a further 30 minutes to 1 hour, or until the beef is tender and the sauce has thickened. Serve with rice or pasta.']"
149,https://www.jamieoliver.com/recipes/seafood-recipes/spanish-style-prawns-with-fennel/,Spanish-style prawns with fennel,"['garlic', 'tomato', 'wineglass wine', 'lemon']","['Peel and finely slice the garlic, then trim and slice the fennel. Pick and roughly chop the parsley leaves, and roughly chop the stalks.Heat a good lug of oil in a saucepan and gently fry the garlic till golden. Add the fennel and parsley stalks, then reduce the heat to low and sauté for 10 minutes, or until softened but not coloured. Halve half the tomatoes, leaving the rest whole, then add to the pan with the wine. Bring to the boil, then simmer for 5 to 10 minutes, or until thickened. If it’s too thick, add a splash of water.Peel the prawns, leaving the tails on, then butterfly them by cutting along the back of each one and opening them out like a book.Add to the pan and cook for 4 minutes, or until they’re cooked and pink. Stir through parsley leaves and season. Serve with lemon wedges and nice bread.']"
150,https://www.jamieoliver.com/recipes/seafood-recipes/prawn-chorizo-orzo/,Prawn & chorizo orzo,"['garlic', 'chorizo', 'passata', 'orzo', 'vine', 'king prawn']","['Preheat the oven to 180ºC/350ºF/gas 4. Peel and finely chop the garlic, and slice the chorizo. Pick and finely chop the basil.Heat half the oil in a heavy-based pan. Fry the garlic and chorizo for 3 minutes, then deglaze the pan with the vinegar. Add the passata and 300ml of water, then the orzo. Bring to the boil, reduce the heat and simmer for 10 to 15 minutes, or until the orzo is al dente, stirring occasionally to prevent it sticking. Spread the cherry tomatoes over a baking tray, drizzle with the rest of the oil and season. Roast for 10 minutes, or until soft. Stir half the basil into the pasta, along with the prawns. Divide between bowls, top with the remaining basil and serve the roasted tomatoes alongside.']"
151,https://www.jamieoliver.com/recipes/beef-recipes/beef-stifado/,Beef stifado,"['stewing chuck top rump', 'onion', 'tomato chopped tomato', 'tomato puree', 'marinade', 'garlic', 'allspice berry', 'wine', 'wine']","['Place the beef in a large non-reactive bowl. Add the marinade ingredients, peeling and finely slicing the garlic first, then cover and refrigerate for at least 6 hours, or preferably overnight.Peel the baby onions. If using fresh, peel and roughly chop the tomatoes.Heat the oil over medium heat in a large saucepan and sauté the onions for 5 minutes or until softened. Remove with a slotted spoon and set aside. Sauté the beef, reserving the marinade, for about 8 to 10 minutes, or until browned on all sides. Return the onions to the saucepan, add the marinade, tomatoes and tomato purée and enough water to just cover the stew. Season generously with sea salt and freshly ground black pepper. Bring to the boil then simmer for 1½ to 2 hours, or until the beef is tender and the sauce has thickened. Serve with pasta and grated hard cheese, such as kefalotiri, pecorino or Parmesan.']"
152,https://www.jamieoliver.com/recipes/pasta-recipes/pasta-and-green-olives/,Pasta and green olives,"['orecchiette', 'garlic', 'passata']","['Cook the pasta according to the packet instructions in a large pan of boiling salted water.Peel, slice and fry the garlic for a few minutes in the oil until softened. Stone and chop the green olives, reserving the brine. Add the olives to the pan, season, stir and cook for 2 minutes. Stir in the passata and the brine, and cook for 5 minutes. Reserving the cooking water, drain and add the pasta to the sauce. Serve immediately.']"
153,https://www.jamieoliver.com/recipes/pasta-recipes/world-s-most-elegant-winter-pasta/,World’s most elegant winter pasta,"['leek', 'garlic', 'cavolo curly kale savoy cabbage', 'pasta linguine spaghetti', 'parmesan cheese']","['Trim, halve and chop the leek into chunks, and peel the garlic. Put a large pan of salted water on to boil, then drop in the leek and garlic cloves. Cook for 3 minutes, then add your cavolo nero, kale or cabbage. Cook for another 3 to 3½ minutes, but no more! Don’t be tempted. Using tongs or a slotted spoon, move the veg to a liquidiser – it’s OK if a bit of water comes with it. Add your oil and liquidise until you’ve got a vivid green purée, the same consistency as double cream. If it’s a bit too dry, add a splash of the cooking water. Have a taste, season with sea salt and black pepper, then put aside.Bring the water back to boil, and cook the pasta according to the packet instructions. Drain and return the pasta to the pan, add the sauce and allow it to simmer over a medium-low heat for 30 seconds. As it comes back to the boil, remove from the heat and finely grate in the Parmesan. Be quick, so your pasta doesn’t overcook, then check the balance of cheese, salt and pepper. Finely grate over extra Parmesan, then serve on a big platter and eat as soon as possible.']"
154,https://www.jamieoliver.com/recipes/beef-recipes/chianti-crudo/,Chianti crudo,"['topside beef', 'garlic', 'lemon']","['Bring the meat to room temperature, then place it on a board and tenderise with a meat hammer or Jaccard-style tenderiser. Cut the meat into large chunks and transfer to a large bowl. Season to taste.Peel, finely chop and add the garlic. Pick, chop and add the parsley, then add the lemon zest and juice, the chilli and oil. Adjust the quantities to taste; there should be just a hint of each, to bring out the meat’s best aspects and not mask its flavour. Transfer to a platter and serve immediately with ciabatta-style bread.']"
155,https://www.jamieoliver.com/recipes/beef-recipes/beef-tacos/,Beef tacos,"['onion', 'garlic', 'minced beef', 'beef stock', 'taco', 'salsa', 'tomato', 'onion', 'lime', 'guacamole', 'avocado', 'lime', 'creme fraiche']","['Peel and dice the onion, then deseed and dice the peppers. Soften in 1 tablespoon of oil in a large pan over a low heat. Peel, finely slice and add the garlic, along with the paprika and cumin, and cook for 1 to 2 minutes. Add the beef and stir until it has browned. Pour in the stock, cover, and cook for 45 minutes, or until reduced and delicious.Preheat the oven to 180ºC/350ºF/gas 4. For the salsa, roughly chop the tomatoes, trim and finely slice the spring onion, then pick and roughly chop the coriander leaves. Combine with the lime juice, then season carefully to taste. For the guacamole, halve and destone the avocados, then mash the flesh with a fork. Squeeze in the lime juice, add the crème fraîche, season, and gently mix it all up. Spread the taco shells out on a baking tray and place in the oven for 3 to 4 minutes until crisp. Fill the shells with the meat, salsa and guacamole or\xa0lay everything out and let everyone help themselves.']"
156,https://www.jamieoliver.com/recipes/bread-recipes/quick-grilled-pizza/,Quick grilled pizza,"['strong bread flour', 'yeast', 'caster sugar', 'garlic', 'chopped tomato']","['Mix the flour, yeast, sugar, 1 teaspoon of sea salt, 1\xa0tablespoon of oil and 180ml to 200ml of tepid water. Knead to an elastic dough, then cover and leave to rise for 1\xa0hour. Peel, chop and fry the garlic in 4 tablespoons of oil, then add the tomatoes, pick in the basil leaves, and season with salt and black pepper. Preheat a griddle pan or barbecue. Divide the dough into 4 balls, then roll each out. Brush one side of each with oil, then cook, oiled side down, for 2 to 4 minutes, or until the bottom looks cooked. Brush the raw side with oil and flip over and cook until golden. Top with the sauce and toppings of your choice.']"
157,https://www.jamieoliver.com/recipes/fish-recipes/lemon-sole-with-runner-beans/,Lemon sole with runner beans,"['runner bean', 'lemon sole']","['Trim the beans then, steam and slice them. Pick and finely chop the herbs, discarding the stalks.Season the fish, then place in a bowl with the\xa0herbs and 2 tablespoons of oil.\n\nSpoon out 1 tablespoon of the herby oil, and place in a large frying pan over a medium heat. Cook the fish, skin-side down, for 5 to 7 minutes and turn once, drizzling with the remaining herby oil. Transfer to\xa0a\xa0plate with the beans and drizzle with\xa0a\xa0little extra oil.']"
158,https://www.jamieoliver.com/recipes/vegetables-recipes/tofu-chickpea-curry-with-spring-greens/,Tofu & chickpea curry with spring greens,"['onion', 'garlic', 'tofu', 'vegetable', 'chopped tomato', 'chickpea', 'masala', 'lemon']","['Peel and finely slice the onion. Peel the garlic, then finely chop 1 of the cloves and finely slice the rest. Cut the tofu into cubes. Finely slice the chilli, and shred the spring greens.Heat the vegetable oil in a pan, add the onion and chopped garlic, and cook gently until the onion begins to brown. Add the ground coriander and cumin, cayenne and turmeric. Cook for 1 minute. Stir in the tomatoes and half a\xa0tin of water. Simmer for 10 minutes. Meanwhile, heat 1 tablespoon of olive oil in a frying pan and cook the tofu until golden brown. Drain on kitchen paper. Drain, rinse and stir the chickpeas into the tomato sauce, heat through, then add the paprika, garam masala, lemon juice and seasoning to taste, plus more water if it looks too dry. Add the tofu.Heat 1 tablespoon of olive oil in a pan. Add the cumin seeds and fry gently to release the aroma, then add sliced garlic and chilli. When the garlic begins to brown, add the spring greens and stir-fry for 2 to 3 minutes, until just cooked. Serve with the tofu and chickpea curry.']"
159,https://www.jamieoliver.com/recipes/vegetables-recipes/spiced-aubergine-amp-coconut-curry/,Spiced aubergine & coconut curry,"['asian aubergine', 'garlic', 'onion', 'curry', 'tomato puree', 'masala', 'coconut milk', 'onion']","['Heat 2 tablespoons of the oil in a frying pan over a medium-high heat. Quarter and add the aubergines and fry for 6 to 8 minutes, or until tender, tossing well to colour them all over. Set aside. Peel and finely grate the ginger and garlic, then peel and very finely slice the white onion (use a mandolin if you have one).Add the rest of the oil to the pan, tip in the cumin and mustard seeds and fry until they begin to pop. Lower the heat slightly, add the curry leaves and dried chillies and continue to cook until the leaves are crisp and translucent. Stir in the ginger and garlic and fry for 1 minute. Add the sliced onion along with ½ teaspoon of sea salt, lower the heat and cook for 5 to 7 minutes, or until the onion is soft. Stir in the tomato purée, garam masala and coconut milk. Bring it to a simmer, return the aubergine to the pan and cook for 10 minutes, or until it’s soft but still firm to the bite. Finely slice the red onion, pick and chop the coriander leaves, then combine in a small serving dish. Divide the curry between bowls and serve with the red onion salad and poppadoms, if you like.']"
160,https://www.jamieoliver.com/recipes/pasta-recipes/zesty-sardine-purple-kale-spaghetti/,Zesty sardine & purple kale spaghetti,"['spaghetti', 'sardine scaled', 'garlic', 'lemon', 'wine', 'purple kale', 'chervil']","['Preheat the grill to high. Fill a large pan with water and cook the spaghetti according to the packet instructions. Meanwhile, place a large frying pan over a medium heat. Add the capers and fry for about 3 minutes, or until crisp. Remove the pan from the heat and set aside.Lightly oil and season the sardines, place on a baking tray and grill for about 2 minutes on each side, or until golden. Peel, chop and add the garlic to the frying pan with the lemon juice, white wine and capers. Cook over a high heat until the mixture is reduced by half. Remove the tough stalky bits from the kale, add the leaves to the pan and toss it all together for a few minutes. Reserve a cup of the pasta cooking water, drain the rest and add the pasta. Mix well, adding a splash of the cooking water to make it glossy, then season.Flake the sardine flesh into the pasta and serve with the chilli and chervil scattered over the dish.']"
161,https://www.jamieoliver.com/recipes/chicken-recipes/leftover-chicken-with-tomatoes-amp-crispy-chorizo/,Leftover chicken with tomatoes & crispy chorizo,"['orange', 'onion', 'garlic', 'tomato', 'poached chicken', 'chicken stock', 'chorizo sausage', 'creme fraiche']","['Blacken the peppers over a gas flame or under the grill, then place in a bowl and cover with clingfilm to steam. After 15 minutes, they should be really easy to peel, so peel off and discard the skin. Peel and finely slice the onion and garlic, then roughly chop the tomatoes. Halve, deseed and finely slice the chilli, then pick and finely chop the oregano leaves.Heat a little olive oil in a large frying pan over a medium heat. Add the onion and fry for a couple of minutes, then add the garlic, tomatoes, paprika, chilli and most of the oregano. Cook for around 5 minutes, or until starting to soften. Pull the chicken off the bones in chunky pieces, discarding the bones and skin. Add the chicken to the pan with the stock. Tear the peppers into chunky strips, add to the pan and stir well. Leave to bubble away for 25 minutes, or until the sauce has reduced and is thick and glossy.Place the fennel seeds into a pestle and mortar and bash until crushed.Place a second frying pan over a high heat. Slice open the skins of the chorizo sausages. Add a splash of olive oil to the pan and squeeze in the meat from the sausages, then add the crushed fennel seeds. Cook for about 5 minutes, or until dark golden, crisp and smelling fantastic, using a wooden spoon to break up the chorizo, stirring occasionally.Add a good lug of extra virgin olive oil and a generous pinch of sea salt and black pepper to the chicken. Take the pan straight to the table, dollop over the crème fraîche, drizzle with the balsamic and scatter with the crisp chorizo and reserved oregano. Delicious served with warm flatbreads or tortillas, or as a topping for jacket potatoes.']"
162,https://www.jamieoliver.com/recipes/cheese-recipes/summer-vegetable-goat-s-cheese-frittata/,Summer vegetable & goat’s cheese frittata,"['bean', 'onion', 'defrosted pea broad', 'egg', 'butter', 'cheese', 'parmesan cheese']","['Preheat your grill to medium, or your oven to 180ºC/gas 4.Bring a pan of water to the boil. Trim the ends of the beans,\xa0then cut them into 3cm lengths. Trim the spring onions and chop them up, then pick and chop up most of the mint.Cook the beans in the saucepan of\xa0boiling water for 5 minutes, adding the peas or the broad beans for the final 2 minutes of cooking time. Drain all the veg in a colander and set aside.Beat the eggs together with a whisk, then whisk in a pinch of black pepper and most of the chopped mint.Melt the knob of butter in an ovenproof frying pan, add the spring onion and cook gently for about 5\xa0minutes until soft. Add the drained veg to the pan, then pour in the minty egg mixture. Cook for 2 minutes, then very carefully take the pan off the heat. Crumble and grate the cheeses over the frittata, then grill or bake for 5 to 7 minutes, or until set and golden on top. Scatter over the remaining mint and serve the frittata warm or cold with a green salad.']"
163,https://www.jamieoliver.com/recipes/pasta-recipes/sicilian-spaghetti-alla-norma/,Sicilian spaghetti alla Norma,"['aubergine', 'garlic', 'wine', 'plum tomato', 'wholewheat spaghetti', 'cheese']","['Chop the aubergines into rough 2cm chunks. Place into a colander in the sink, sprinkle with sea salt to draw out the moisture, then set aside for around 20 minutes.Peel and finely slice the garlic, then pick the basil leaves and finely slice the stalks.Rinse the aubergine and pat dry with kitchen paper, then place into a large bowl with the oregano, chilli flakes, a splash of olive oil and a pinch of sea salt and black pepper. Toss together well.Drizzle a splash of olive oil into a large frying pan over a medium heat. Once hot, add the aubergines in a single layer, and fry for 5 to 8 minutes, or until softened and golden, stirring occasionally – you may need to do this in batches.Add another splash of olive oil, followed by the garlic, capers and basil stalks, then cook for a further 2 minutes, or until golden.Stir in the vinegar and the tomatoes, breaking them up with the back of a spoon. Reduce the heat to low, and simmer gently for 15 to 20 minutes, or until thick and glossy.Cook the spaghetti in a pan of boiling salted water for 8 minutes or until al dente, which means that it should be soft enough to eat, but still have a bit of bite and firmness to it.Drain the spaghetti, reserving a cupful of the cooking water, then add a good splash of the reserved water to the aubergine sauce.Finely grate in half the cheese and tear in most of the reserved basil leaves. Add a lug of extra virgin olive oil, then season to taste.Add the spaghetti to the sauce and toss well, adding an extra splash of the reserved cooking water to loosen, if needed.Divide between bowls, grate over the remaining cheese and finish with the remaining basil scattered on top.']"
164,https://www.jamieoliver.com/recipes/fish-recipes/super-speedy-steamed-salmon/,Super-speedy steamed salmon,"['onion', 'tesapoon', 'couscous', 'tomato', 'salmon', 'lemon', 'yoghurt']","['Peel the onions, halve and deseed the pepper, then finely chop both. Halve, deseed and finely chop the chilli. Pick the basil leaves and finely chop the stalks. Heat 1 teaspoon of olive oil in a large, deep frying pan over a medium heat, add the basil stalks and chopped veg and cook gently for 5 minutes, or until the vegetables are soft, stirring occasionally.Pound the fennel seeds in a pestle and mortar or bash with the base of a pan until fine, then add to the pan with the bay leaf.Place the couscous into a bowl with a pinch of salt and pour over 300ml of boiling water.Halve the cherry tomatoes and add to the pan with the softened vegetables. Season, then stir together and shake the pan so the veg is in one layer.Drizzle the salmon with extra virgin olive oil and season lightly with sea salt and black pepper.Tip the couscous over the vegetables and smooth out. Carefully pour over another 300ml of boiling water, then place the salmon fillets on top of the couscous, skin-side down.Finely grate over the lemon zest and squeeze over the juice.Cover the pan with a lid or tin foil, and cook on a low heat for 12 to 15 minutes, or until the couscous has fluffed up and the salmon is just cooked.Top each salmon fillet with 1 tablespoon of yoghurt, drizzle with extra virgin olive oil and season with salt and pepper. Roughly tear and scatter over the basil leaves, then place the pan in the middle of the table and enjoy.']"
165,https://www.jamieoliver.com/recipes/fish-recipes/spiced-sea-bass-with-caramelised-fennel/,Spiced sea bass with caramelised fennel,"['butter', 'seabass gutted', 'garlic', 'lemon']","['Reserving the tops, cut the fennel into wedges. Place the butter and a splash of oil in a pan over a low heat, add the fennel and cook for 40 minutes, or until golden and caramelised. Preheat the oven to 180ºC/350ºF/gas 4. Score the fish on each side. Peel and finely chop the garlic, deseed and finely chop the chilli, then rub all over the fish with the lemon zest. Season with sea salt and black pepper, then slice the lemon into rounds and place 2 to 3 slices inside each fish cavity. Bake for 20 minutes, or until cooked. Serve with the fennel, scattered with the reserved tops.']"
166,https://www.jamieoliver.com/recipes/chicken-recipes/roast-chicken-for-two/,Roast chicken for two,"['pear', 'an onion', 'garlic', 'chicken liver', 'vac', 'butter', 'brandy', 'cranberry', 'chicken', 'orange', 'unsmoked bacon']","['Peel, core and chop the pear, peel and finely chop the onion, then peel the garlic. Trim the chicken livers, removing any stringy bits.Heat a frying pan on a medium heat, add a splash of oil and gently fry the pear, onion, garlic, chestnuts and sage leaves for 15 minutes, or until softened. Add the butter, move the veg to one side, then add the livers. Season well and cook for a minute or so, then add the brandy and stir. Cook on high for no more than 4 minutes, so the livers are still blushing inside; you’ll see them plump up. Overcooked, they’re tough, and we want them silky smooth.Tip it all into a food processor and pulse till creamy, but with some texture. Stir in the cranberries, then spread out on a plate and pop in the fridge to cool for a few minutes.Preheat your oven to full whack. Gently push your fingers between the skin and chicken breast meat to create a pocket. Push the stuffing into it, pull back the skin and secure with a couple of cocktail sticks. Drizzle with oil and season well, rubbing it all over the meat. Slice the orange into 6 wedges, then fit as many into the chicken’s cavity as you can – leave enough room for air to circulate – then transfer it to a roasting tray.Place the bird in the oven, then turn down the heat to 190ºC/375ºF/gas 5. Cook for 1 hour 20 minutes in total, or until cooked, basting the chicken and covering the breast with bacon halfway through. When done, transfer to a board to rest before carving. Sprinkle with thyme leaves and serve with lovely roast veggies.']"
167,https://www.jamieoliver.com/recipes/fish-recipes/swordfish-cherry-tomatoes-amp-capers/,"Swordfish, cherry tomatoes & capers","['swordfish', 'garlic', 'tomato', 'lemon']","['Season the swordfish and drizzle with oil, then pan-fry or grill for 5 minutes over a high heat on each side, or until cooked. Transfer to plates. Peel and finely slice the garlic, then segment the lemon. Heat 1 tablespoon of oil in a frying pan over a high heat, add the garlic and tomatoes and sauté for 5 minutes, or until lightly golden. Add the lemon and capers and cook for 2 minutes. Finely chop and add the parsley leaves, season with black pepper, stir, then pour over the fish and serve.']"
168,https://www.jamieoliver.com/recipes/beef-recipes/beef-stroganoff/,Beef stroganoff,"['onion', 'garlic', 'lemon', 'mushroom', 'fillet steak', 'butter', 'glass brandy', 'cream']","['Peel and finely chop the onion and garlic, then finely grate the lemon zest. Clean and tear the mushrooms. Pick and finely chop the parsley.Place the beef between 2 sheets of clingfilm. Bash with a rolling pin until ½ cm thick, then cut into finger-width slices. Mix the paprika, lemon zest, and a pinch of sea salt and black pepper together, and use to dust the beef. In a large frying pan over a medium-low heat, fry the onion and garlic in a little oil until softened. Turn up the heat and add the mushrooms and butter, sautéing until the mushrooms are golden brown, then tip onto a plate\n\nAdd a little oil to the pan and fry the beef for 2 minutes, turning, until browned but still pink inside. Stir in the mushroom-onion mixture, add the brandy and reduce for 1 minute or until almost disappeared.\n\nRemove from the heat and stir in the cream and parsley. Delicious serve with bread and gherkins.']"
169,https://www.jamieoliver.com/recipes/fish-recipes/monkfish-with-spinach-feta/,Monkfish with spinach & feta,"['monkfish fillet', 'spinach', 'feta cheese', 'lemon']","['Crush and sprinkle the cumin seeds over the monkfish fillets. Pick the thyme leaves on top and season well. Heat a little oil in a large frying pan over a medium heat, add the fish and fry for 3 to 4 minutes on each side, or until coloured and cooked. Bring a large pan of salted water to the boil and blanch the spinach for about 3 minutes. Drain and drizzle with oil. Serve with the monkfish, sprinkled with the feta and a good squeeze of lemon juice.']"
170,https://www.jamieoliver.com/recipes/seafood-recipes/mussels-with-guinness/,Mussels with Guinness,"['shallot', 'garlic', 'bacon', 'butter', 'mussel', 'guinness', 'double cream']","['Peel and finely chop the shallot and garlic, and finely chop the bacon. Pick and finely chop the parsley and thyme.In a pan, melt the butter and sweat the shallot, garlic and bacon for 4 to 5 minutes. Add half the herbs, the bay, and a pinch of sea salt and black pepper. Next, add the mussels (if any are open, give them a tap; if they don’t close, throw them away), then the Guinness. Boil, then lower the heat, cover and steam for 3 to 5 minutes, or until the mussels have opened (discard any unopened ones). Stir in the cream and remaining herbs, adjust the seasoning and serve with bread.']"
171,https://www.jamieoliver.com/recipes/vegetables-recipes/pepper-noodle-salad/,Pepper & noodle salad,"['rice noodle', 'garlic', 'sweetcorn', 'onion', 'salted peanut', 'lime']","['Soak the noodles in a large bowl of warm water for 20 minutes.Deseed and slice the peppers into strips, peel and finely slice the garlic and deseed and finely slice the chillies. Drain and rinse the sweetcorn. Trim and finely slice the spring onions, and roughly chop the peanuts.Bring a\xa0large pan of water to the boil, drain the noodles and add to the pan. Bring back to the boil and cook the noodles for a couple of minutes until soft. Drain the noodles and immerse in a bowl of cold water until you are ready to use them.\n\nIn a large frying pan, heat 1 tablespoon of olive oil, then add the peppers, garlic and chillies and cook for a couple of minutes, or until the peppers soften slightly. Drain the noodles, stir in the contents of the frying pan, add the sweetcorn and spring onion, drizzle over the remaining oil and squeeze over the lime juice and mix well to coat. Scatter over the salted peanuts and season with black pepper.']"
172,https://www.jamieoliver.com/recipes/pasta-recipes/pappardelle-with-peas-broad-beans-pecorino/,"Pappardelle with peas, broad beans & pecorino","['pappardelle', 'pea', 'broad bean', 'lemon', 'cheese']","['Cook the pasta in boiling salted water, according to packet instructions and retain a little of the cooking water. Meanwhile, blanch the peas and broad beans for 2 minutes. Pick and finely chop the mint.Drain, then toss with the pasta, a good drizzle of\xa0oil, the lemon juice and zest,\xa0half the mint, and a pinch of sea salt and black pepper. Add a good grating of pecorino. Use a little of the reserved cooking water to loosen, if too dry. Top with\xa0the remaining mint and some extra pecorino, if you like.']"
173,https://www.jamieoliver.com/recipes/pork-recipes/cumberland-sausage-casserole/,Cumberland sausage casserole,"['banana shallot', 'garlic', 'cumberland sausage', 'glass wine', 'chopped tomato', 'cannellini bean']","['Peel the shallots, then peel and finely slice the garlic. Put the sausages in a non-stick pan with a drizzle of oil, the shallots, 2 to 3 sprigs of the rosemary and a few pinches of sea salt and black pepper. Toss gently, and place on a medium heat. Cook for about 20 minutes, moving everything around to brown evenly. Pour in the wine and simmer gently until it’s almost gone, then add the tomatoes and beans, bring them to the boil and simmer for 20 minutes.\n\nPreheat the oven to 180ºC/gas 4.Spoon the sausage mixture into a baking dish and bake for 10 to 15 minutes. Pick and roughly chop the remaining rosemary leaves. Crumble the chillies.Heat a large pan over a medium heat. Add a splash of oil, the garlic, chilli, chopped rosemary and the breadcrumbs, and stir-fry until golden brown. Take the stew out of the oven, sprinkle over the breadcrumbs, then return to the oven for 20 minutes. Delicious served with crusty bread.']"
174,https://www.jamieoliver.com/recipes/vegetables-recipes/pistou-soup/,Pistou soup,"['onion', 'garlic', 'leek', 'potato', 'carrot', 'celery', 'courgette', 'bean', 'chopped tomato', 'cannellini bean', 'borlotti bean', 'macaroni', 'pistou', 'garlic', 'parmesan cheese']","['Peel and finely chop the onion and garlic, then trim and slice the leek. Chop the potatoes, carrots, celery and courgettes, then pick and roughly chop the parsley leaves.Heat the olive oil in a large saucepan over a medium heat and sauté the onion, garlic and leek for 5 minutes.Add the other chopped ingredients, the bay, green beans and chopped tomatoes. Drain and add the beans. Cover with water, season and simmer until the vegetables are tender.Add the pasta and simmer until cooked, adding water if the soup is too thick. For the pistou sauce, peel and add the garlic to a pestle and mortar, pick in the basil leaves and add some sea salt. Pound until puréed, then finely grate in the Parmesan and muddle in the extra virgin olive oil to make a paste. Serve the soup with a dollop of pistou.']"
175,https://www.jamieoliver.com/recipes/vegetables-recipes/garlic-mushroom-burgers/,Garlic mushroom burgers,"['garlic', 'butter', 'mushroom', 'burger bun ciabatta', 'lemon']","['Preheat the oven to 200ºC/gas 6, or fire up your barbecue.Peel and finely grate the garlic, then pick and chop the parsley leaves. Combine with the softened butter. Clean the mushrooms and fill them with the butter. Wrap in tin foil and bake in the oven or place on the barbecue for 15 minutes, or till the mushrooms are soft and cooked. Split the burger buns or ciabatta, then unwrap the mushrooms and pour the the juices onto the bread. Smear with mustard and top with a mushroom, a squeeze of lemon juice and some rocket.']"
